100643328	济南招录“高姐”	2月23日，济南，山东交通学院举行高铁动车乘务专业测试。王锋/东方IC2/6	2014年02月26日11:02
100648706	波音飞机事故史	当地时间2013年7月6日中午，韩亚航空一架波音777航班在美国旧金山国际机场降落时发生坠毁并起火，两名中国公民遇难，数十人受伤。1/10	2014年03月08日19:38
100634859	朝鲜富人的生活	2012年4月26日，顾客在朝鲜平壤新开业的“未来商店”选购衣物。5/11	NULL
100651397	【记者手记】马来西亚：真相失踪的日子	　　【财新网】（特派吉隆坡记者戴甜）高温加上部分土壤易燃，久难扑灭的山火使吉隆坡笼罩在一片烟雾中。而MH370失联背后的真相在事件发生六天后不仅没有走向清晰，反而愈发难辨。　　“飞机消失了（Theplanevanished）。”马来西亚官方在连日的发布会上以“半解释”的口吻重复着这句话。　　马来西亚代交通部长希山慕丁（HishammuddinHussein）13日向记者坦言：“飞机找到之前，不认为搜救可以算得上有任何进展。”　　然而搜救的一无所获并不代表媒体也是一如海面平静。在这场信息“拉锯战”中，各种消息层出不穷又被马方相继否认，媒体对马来西亚官方内部“表达前后不一”的炮轰表现得毫不吝惜。　　马来西亚民航局“曾有5名乘客办理登机手续后没有登机”的说法后被负责调查的全国总警长阿布巴卡11日否认。马来西亚军司令达乌德曾接受当地主流报纸《马来每日新闻》采访，但12日矢口否认自己在采访中明确“飞机曾返航至马六甲海峡”，并指控相关报道失实。马来西亚官方同时还修改了飞机最后失联的地点及时间。　　在3月13日召开的记者会上，马来西亚官方更是一连气否认了三件事，即在中国卫星拍到疑似漂浮物的海域没有任何发现，警方搜索MH370空乘人员家里的报道失实，以及发动机信号捕捉到飞机总共飞行了5个小时的说法不准确。　　混乱的信息带给事件最大受害者——乘客家属的有希望也有绝望。　　“不想残骸被找到，我宁愿他（她）吸到时空隧道里。”一名下榻在吉隆坡等候消息的中国乘客家属红着眼圈和同伴说。　　“我就是不想找到（残骸），找到时你让我怎么接受呀。”另一名家属言语中略带哭腔，一桌的义工在旁低声安慰。　　身边新认识的马来朋友有人同情官方面临的处境，也有人发泄不满。　　“电视上，官员们每天说着一样的话，如果我都不能接受，家属又如何能接受？我真替这些官员难为情。”出租车上，马来西亚司机毫不客气地说。　　当然，不能否认随着分秒的流失，对真相的急切渴望和山火一样烧在每家媒体心中，也促使他们做出过热的判断。有记者和我坦言，自己独家报道中的匿名信源，感觉不是很可靠，但文章还是发表了。　　一名国内同行曾在微信中表达过这样的思考：自己不知道媒体此时应该冷峻剖析事件责任，提醒所有人做好最坏的准备，还是温情脉脉地派送正能量、贩售随时可能招致巨大落差的希望。　　无庸置疑的是，大家的希望从飞机失联第一日起就走在加速折旧的路上。而作为媒体人，能做的只有将对奇迹的期盼留在心底，为公众挖掘更加准确、客观的真相。■	2014年03月14日10:44
100643974	解密中国富裕家庭：也靠工资也贷款	NULL	NULL
100642311	【刘汉兴衰调查之三】炒股金路集团内幕	　　【财新网】（记者罗洁琪）汉龙集团旗下有一家上市公司——金路集团股份有限公司（下称金路集团，000510.SZ）。　　金路集团1993年即在深交所上市，到2000年前后，经营遭遇困难，甚至发不起工资，导致工人上街游行。按刘汉曾经的说法，当时德阳市政府找到刘汉，希望他出手入主金路集团，解决政府面临的问题。彼时，金路集团的大股东四川省三通企业(集团)有限责任公司（下称三通集团）对金路集团的控制权，被德阳市国有资产经营公司夺回。　　刘汉提出了条件，一是为巨亏的金路集团提供税收减免待遇，同时，还要求以优惠价格收购德阳市天然气公司的股权。德阳市政府答应了刘汉的条件。　　不过，对于擅长资本运作的刘汉来说，入股金路集团的买卖并没有那么简单。　　在入主金路集团之前，刘汉就找到西藏珠峰摩托车工业公司（下简称珠峰摩托）负责人何冰，约定一起炒作金路集团的股票。刘汉认为，当时金路集团的股价低，可以大量买入。为了避人耳目，刘汉没有以汉龙集团的名义收购金路集团股票，而是让珠峰摩托出面。2001年，三通集团将其所持金路集团全部转让给珠峰摩托，后者成为金路集团第一大股东。　　在此前后，刘汉通过各种途径控制了十几个大账户和上万个小户来运作金路集团的股票。2001年，刘汉从中国建设银行和光大银行共贷款11亿元，用来购买金路股权的流通股和其他股票。此后一年间，刘汉陆续投入了共计20多亿元。　　2000年初，金路集团的股价在五六元左右，到2001年底2002年初时，金路股票涨到16元左右，其间最高时约22元。2002年，何冰因走私被捕，金路集团的股价开始下跌。　　也是在2002年，刘汉旗下汉龙实业发展有限公司(下称汉龙实业)，通过与珠峰摩托的借款纠纷案，以司法途径获得后者所持金路集团股份，成为金路集团第一大股东。刘汉在2008年当选为公司董事长，直至2013年3月案发，同年8月去职。　　目前，汉龙实业是金路集团第三大股东，刘汉的堂兄刘沧龙掌控的四川宏达（集团）有限公司为金路集团第一大股东，德阳市国有资产经营有限公司则为第二大股东。2013年9月，四川宏达(集团)有限公司将所持股权授予德阳市国有资产经营有限公司代为行使一年，后者成为金路集团实际控制人。（待续）　　相关报道：　　刘汉与五矿的暗黑交易　　【刘汉兴衰调查之一】兄弟红黑路　　【刘汉兴衰调查之二】斗法袁宝璟　　【刘汉兴衰调查之四】周滨的生意伙伴　　【刘汉兴衰调查之五】矿业大亨　　【刘汉兴衰调查之六】豪赌江湖　　【刘汉兴衰调查之七】末路狂奔	2014年02月24日14:44
100646153	无锡周氏老宅曝光周家笃信风水	村民说,西前头村搞新农村建设,原本打算在这里给每户农家建新房,家家户户都签字了,最终因周玲英反对而作罢。图片来源：腾讯财经8/10	2014年03月04日08:03
100642309	【刘汉兴衰调查之二】斗法袁宝璟	　　【财新网】（记者罗洁琪）刘汉通过期货聚敛了财富，也卷入了一场富商之间的仇杀。　　1996年前后，刘汉在海南炒期货。成都一个老板对他说，成都高粱的价格被炒高了，差不多到2000多元了，他请刘汉回去成都，出手干预高粱期货的行情。　　刘汉刚开仓做这笔生意，交易所的一个副总就带着袁宝璟公司的老总来找他。袁宝璟，北京建昊集团董事长，辽宁辽阳籍，也是一位白手起家的亿万富翁。当时，袁宝璟也是资金雄厚的期货“大玩家”。那位老总说，高粱的行情是袁宝璟公司做起来的，希望刘汉帮他们一起炒。他承诺给刘汉5万手单子，5000万现金。　　但是，刘汉跟他们说，“现货1300，你们做到1900，必输无疑”，全国的粮食部门都向四川省发高粱，想少赔钱只有赶紧平仓走人。几天之后，刘汉进入交易，只做了几个单子，高粱的价格就掉下来了。袁宝璟公司不得不平仓走人。在那次行情中，刘汉挣到约2000万元。不过，袁宝璟怀疑刘汉跟期货交易所的领导修改规则，让他损失了八九千万元。这是刘汉和袁宝璟最激烈的商场交战，仇恨因此结下。　　1997年的一天，刘汉在广汉市一家宾馆谈完生意，出门时有人向他开了两枪。一枪打在奔驰车的车尾部，另一枪没打到车上。后来的警方侦查发现，袁宝璟从东北雇了一个名叫汪兴的人，欲报复刘汉。但是，这次事件中刘汉没受伤。当时，刘汉身边只有一个司机肖永红。　　枪击事件发生后，刘维曾要殴打肖永红，怀疑他故意把车开到杀手方便射击的地方。为了保护刘汉，刘维安排自己的司机为刘汉开车，并且给了司机一把手枪。　　刘汉仍然不放心，通过中央警卫局后勤部门的人找了四个退伍的武警做贴身保镖。　　2003年10月，“杀手”汪兴在老家辽阳身中两枪毙命。汪兴曾在辽阳当过刑警大队专案中队队长，后下海经商，与袁宝璟相识。据法院后来的认定，汪兴受雇于袁宝璟枪杀刘汉未果，之后多次向袁宝璟借钱，并以要举报袁宝璟违法犯罪相威胁。袁宝璟与其哥哥袁宝琦，指使其堂兄弟袁宝福与袁宝森用猎枪将汪兴打死。　　2005年1月，辽阳市中院一审宣判，袁宝璟、袁宝琦、袁宝森被判处死刑，袁宝福被判处死缓。如此重判引起很大争议，但四名被告的上诉后来被辽宁省高院驳回。2006年3月，袁宝璟与其哥哥袁宝琦、堂兄袁宝森被执行死刑。（待续）　　相关报道：　　刘汉与五矿的暗黑交易　　【刘汉兴衰调查之一】兄弟红黑路　　【刘汉兴衰调查之三】炒股金路集团内幕　　【刘汉兴衰调查之四】周滨的生意伙伴　　【刘汉兴衰调查之五】矿业大亨　　【刘汉兴衰调查之六】豪赌江湖　　【刘汉兴衰调查之七】末路狂奔	2014年02月24日14:41
100648717	菲律宾派飞机寻找马航失联客机	菲律宾国防部8日透露，菲军方已派出舰船和侦察飞机参与寻找失联的马来西亚航空公司客机。8日凌晨，马来西亚航空公司一架波音777型客机执行从马来西亚吉隆坡飞往北京的(MH370)航班任务途中与地面失去联系，机上共搭乘239人，包括150多名中国乘客。东方IC1/2	2014年03月08日20:10
100648728	马来西亚总理赴机场慰问失联客机乘客家属	3月8日，马来西亚总理纳吉布赴吉隆坡国际机场慰问失联客机乘客的家属。东方IC2/6	2014年03月08日21:34
