100643328	专业:0.442368961241|乘务:0.893884520779|招录:3.45810570913|23:0.853911964493|王锋:0.992905546571|举行:0.393503405966|高铁:0.688428412495|山东:0.418772244091|东方:0.428178486541|学院:0.464771382991|交通:0.424660897361|测试:0.510517123813|IC2:0.853911964493|高姐:3.98492250097|动车:0.778924669886|济南:3.18063718836|	2014年02月26日11:02
100648706	航空:0.25863319107|当地:0.23448662524|中午:0.279877215776|航班:0.34490251971|两名:0.295855579138|机场:0.281979708979|降落:0.346357225477|波音:3.3930374974|旧金山:0.356682841211|飞机:1.98646069369|事故:2.37586575877|遇难:0.364195484255|一架:0.3083326065|2013:0.478190700116|777:0.478190700116|起火:0.347647659965|坠毁:0.396467744216|受伤:0.290067724078|公民:0.277917960294|10:0.478190700116|韩亚:0.528301218856|数十:0.328412727906|	2014年03月08日19:38
100634859	11:1.08679704572|26:1.08679704572|生活:1.54462081102|商店:0.725616708882|新开业:1.07465782821|衣物:0.791610981917|选购:0.82847144629|朝鲜:2.79467883965|未来:0.426421575001|顾客:0.704746305096|2012:1.08679704572|富人:2.77744438274|平壤:0.853619831405|	NULL
100651397	失联:0.10901003802|搜救:0.063826627783|登机:0.063826627783|马来西亚:1.53932804963|手记:1.66814289232|报道失实:0.0802889390359|飞机:0.10868174008|马来:0.0528008625798|乘客:0.0727822230793|吉隆坡:0.0970448125897|日子:0.987977811308|找到:0.068834192343|MH370:0.0726733586802|否认:0.0916431556041|残骸:0.0553993064388|接受:0.0635168505168|13:0.0726733586802|媒体:0.0912594114725|真相:1.41786009092|官方:0.106927505684|山火:0.0718616176918|失踪:1.36339431256|家属:0.0934476541465|	2014年03月14日10:44
100643974	工资:1.06449473402|解密:1.68233586037|家庭:0.962655771932|富裕:1.30770638429|贷款:0.945594902938|NULL:11.9547675029|	NULL
100642311	汉龙:0.099347098362|刘汉:2.09104669673|下称:0.066231398908|调查:0.091160990941|内幕:0.99408033285|有限公司:0.086321732226|摩托:0.104798076404|之三:1.27037600421|兴衰:1.29179904812|集团:0.368620638965|股东:0.0894496244742|2013:0.066231398908|所持:0.0622342885119|股票:0.0659727230681|珠峰:0.153288979334|三通:0.0830082103591|国有资产:0.0649733413429|德阳市:0.182996773863|金路:2.2560070253|2002:0.099347098362|2000:0.066231398908|2001:0.099347098362|	2014年02月24日14:44
100646153	无锡:1.16087515806|农村:0.289938296302|周家:1.5097818774|前头:0.398442293488|每户:0.445589660462|村民:0.346950097703|笃信:1.40574780592|财经:0.264365069229|打算:0.295191680444|新房:0.388920779766|签字:0.388308307688|原本:0.325195442274|周氏:1.5989467787|图片:0.303547558982|老宅:1.44521257401|最终:0.254132939646|建设:0.233927682428|腾讯:0.433174124154|反对:0.266875263778|农家:0.42696208185|10:0.569274642995|周玲英:0.569274642995|家家户户:0.446613765473|作罢:0.438104632675|来源:0.248888174597|	2014年03月04日08:03
100642309	刘汉:2.715621094|生意:0.0626056668517|调查:0.0976531683374|袁宝福:0.0709481750914|兴衰:1.6826605842|之二:1.61850381833|平仓:0.0535636814764|期货:0.087472467468|高粱:0.119201922775|刘维:0.0709481750914|袁宝琦:0.106422262637|两枪:0.0619284376807|辽阳:0.080413737699|汪兴:0.177370437728|成都:0.0593585565205|司机:0.0605988696686|斗法:1.83505098235|肖永红:0.0709481750914|袁宝:2.52457256367|单子:0.055857811764|2000:0.0709481750914|袁宝森:0.0709481750914|	2014年02月24日14:41
100648717	150:0.278017848905|失联:2.27047909939|马来西亚:0.562328092647|航班:0.200524720762|239:0.278017848905|飞往:0.211550153657|搭乘:0.226192799583|国防部:0.192989740258|机上:0.207533579292|乘客:0.185622879016|军方:0.198590360146|舰船:0.192396663681|吉隆坡:0.247501886372|IC1:0.278017848905|多名:0.18324777448|777:0.278017848905|寻找:1.00668447774|MH370:0.278017848905|波音:0.211360309223|航空公司:0.360967120919|客机:1.92241536867|菲律宾:1.30653678884|马航:1.99246125048|	2014年03月08日20:10
100648728	国际:0.344093215462|失联:2.41394343809|乘客:1.61170634377|马来西亚:1.62750726814|东方:0.461115293198|纳吉布:0.919597500223|吉隆坡:0.818660085692|机场:0.542268671114|家属:0.591236119504|IC2:0.919597500223|慰问:1.79110609944|客机:1.82091721459|总理:0.502974392363|	2014年03月08日21:34
100645485	巡逻:0.289887588202|图为:0.3319824095|联合:0.201778446689|安保:1.96532606511|暴力:0.287651388461|3.01:0.426955982246|严密:0.271952841338|防控:0.30071566888|火车站:3.62546998777|升级:0.240708276618|戒备:0.334574219958|监控:0.265630292681|秩序:0.261928757935|加强:1.27580992385|恐怖事件:0.438972847839|IC1:0.426955982246|东方:0.214089243271|多地:0.426955982246|警种:0.457216620118|昆明:1.79881935504|恐袭:1.99246125048|	2014年03月03日07:56
